Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/embeddings,115,1,86,811.7462998086936,9.652800000026218,11319.12752400001,13495.339130434782,1.9780029259494194,0.01720002544303843,86,110,150,170,340,9400,10000,11000,11000,11000,11000
POST,/v1/rerank,39,1,210.0,767.8594089999979,2.4392640000314714,12667.252315999918,306.2307692307692,0.6708009922784988,0.01720002544303843,210,230,260,320,360,9700,13000,13000,13000,13000,13000
,Aggregated,154,2,110.0,800.6320872012964,2.4392640000314714,12667.252315999918,10155.24025974026,2.648803918227918,0.03440005088607686,110,160,200,230,350,9400,10000,11000,13000,13000,13000
