Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/embeddings,127,0,110.0,953.803996574805,13.665510999999242,11296.080488000029,14593.527559055117,2.1581868496074845,0.0,110,140,180,190,2700,8600,10000,11000,11000,11000,11000
POST,/v1/rerank,29,0,180.0,355.925393896553,115.95703400007551,3573.8162259999626,277.44827586206895,0.4928143199891106,0.0,180,200,210,240,300,1800,3600,3600,3600,3600,3600
,Aggregated,156,0,130.0,842.6598973589761,13.665510999999242,11296.080488000029,11932.205128205129,2.651001169596595,0.0,130,160,190,200,2600,7600,9600,11000,11000,11000,11000
